year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
2003,04,13,11,20,14.00,,-22.270,-40.670,  0.0,30, 3.3,1,"I",,,"RJ","Margem Cont.","(IAG;UnB)  IAG2.8 - UnB3.7"
2003,04,16,15,36,18.00,,-21.310,-39.860,  0.0,10, 3.2,1,"I",,,"RJ","Margem Cont.","(IAG)"
2003,05,04,22,27,57.00,,-20.370,-44.810,  0.0,20, 2.9,1,"I",,,"MG","Itaguara","(IAG;UnB) IAG2.8 - UnB3.0"
2003,05,11,13,32,45.00,,-16.730,-54.290,  0.0,20, 2.5,1,"I",,,"MT","Rondonopolis","(IAG)"
2003,05,11,13,45,38.00,,-16.730,-54.290,  0.0,20, 3.7,1,"I",,,"MT","Rondonopolis","(IAG;UnB) IAG3.9 - UnB3.5"
2003,05,17,06,40,03.00,,-26.090,-46.210,  0.0,30, 2.9,1,"I",,,"PR","Margem Cont.","(IAG)"
2003,05,20,07,50,31.00,,-4.240,-39.980,  0.0,30, 2.5,1,"I",,,"CE","Taperauaba","(IAG)"
2003,05,23,11,28,11.00,,-25.390,-46.420,  0.0,30, 3.1,1,"I",,,"PR","Margem Cont.","(IAG)"
2003,06,23,06,09,06.00,,-26.440,-41.730,  0.0,30, 4.1,1,"I",,,"SC","Margem Cont.","(IAG;UnB;IPT) IAG3.6;UnB4.5"
2003,06,30,13,20,36.00,,-16.730,-54.290,  0.0,20, 2.6,1,"I",,,"MT","Rondonopolis","(IAG)"
2003,07,14,09,08,38.00,,-12.640,-47.680,  0.0,30, 3.6,1,"I",,,"TO","Parana","(IAG;UnB) IAG3.8;UnB3.3"
2003,07,14,09,15,37.00,,-12.640,-47.620,  0.0,30, 3.0,1,"I",,,"TO","Parana","(IAG)"
2003,07,15,15,36,01.00,,-15.550,-47.680,  0.0,40, 2.5,1,"I",,,"GO","Jacilandia","(IAG)"
2003,07,19,10,32,,,-5.630,-35.600,  0.0,5, 2.7,1,"I",,,"RN","Taipu","(UFRN)"
2003,07,19,22,12,,,-5.630,-35.600,  0.0,5, 2.6,1,"I",,,"RN","Taipu","(UFRN)"
2003,07,20,00,32,,,-5.630,-35.600,  0.0,5, 2.7,1,"I",,,"RN","Taipu","(UFRN)"
2003,07,20,09,07,,,-5.630,-35.600,  0.0,5, 2.6,1,"I",,,"RN","Taipu","(UFRN)"
2003,07,26,00,51,21.00,,-24.050,-42.360,  0.0,20, 3.4,1,"I",,,"SP","Margem Cont.","(IAG)"
2003,07,31,11,34,11.00,,-13.540,-44.590,  0.0,30, 2.9,1,"I",,,"BA","Correntina","(IAG)"
2003,07,31,14,43,40.00,,-13.490,-44.590,  0.0,30, 3.0,1,"I",,,"BA","Correntina","(IAG)"
2003,07,31,15,29,57.00,,-13.580,-44.600,  0.0,30, 2.9,1,"I",,,"BA","Correntina","(IAG)"
2003,10,28,22,54,57.00,,-17.380,-56.220,  0.0,20, 2.9,1,"I",,,"MT","SSW-Pocone","(IAG)"
2003,10,28,23,21,55.00,,-17.380,-56.220,  0.0,50, 3.5,1,"I",,,"MT","SSW-Pocone","(IAG)"
2003,11,15,00,20,27.00,,-8.340,-50.040,  0.0,20, 3.9,1,"I",,,"PA","Con.Araguaia","(IAG)"
2003,12,03,23,33,47.00,,-9.610,-34.280,  0.0,30, 3.3,1,"I",,,"AL","Margem Cont.","(IAG)"
2003,12,24,20,12,55.00,,-7.400,-72.700, 28.0,100, 3.4,0,"I",,,"AC","Acre","(ISC)"
2004,01,11,10,34,20.00,,-8.330,-36.580,  0.0,20, 2.7,1,"I",,,"PE","Belo Jardim","(IAG;UFRN)"
2004,01,12,04,51,50.00,,-6.570,-38.800,  0.0,50, 3.2,1,"I",,,"CE","Icoh","(IAG)"
2004,02,03,01,07,,,-8.260,-35.960,  0.0,5, 2.5,1,"I",,,"PE","Caruaru","(UFRN)"
2004,02,06,05,55,20.00,,-4.980,-39.740,  0.0,50, 2.8,1,"I",,,"CE","Guia","(IAG)"
2004,02,27,19,50,07.00,,-24.840,-45.710,  0.0,0, 2.6,1,"I",,,"SP","Margem Cont.","(IAG-ESAR;IPT)"
2004,03,17,23,28,58.00,,-18.400,-56.210,  0.0,100, 3.0,1,"I",,,"MS","Paiaguas","(IAG)"
2004,05,16,14,29,37.00,,-25.220,-44.720,  0.0,50, 3.9,1,"I",,,"SP","Margem Cont.","(IAG;IPT;UNESP-RC)"
2004,05,21,11,57,,,-8.330,-36.580,  0.0,20, 2.5,1,"I",,,"PE","Belo Jardim","(IAG;UFRN)"
2004,05,30,03,26,29.00,,-23.170,-42.150,  0.0,50, 2.5,1,"I",,,"RJ","Margem Cont.","(IAG;IPT)"
2004,06,01,12,11,00.00,,-8.330,-36.580,  0.0,5, 3.1,1,"I",,,"PE","Belo Jardim","(UFRN;IAG)"
2004,06,07,23,25,,,-8.330,-36.580,  0.0,5, 2.5,1,"I",,,"PE","Belo Jardim","(UFRN;IAG)"
2004,06,09,12,30,,,-8.330,-36.580,  0.0,5, 2.9,1,"I",,,"PE","Belo Jardim","(UFRN;IAG)"
2004,06,24,12,18,32.50,,-26.210,-61.870, 44.0,30, 3.4,5,"I",,,"AR","Argentina","(SJA/INPRES)"
2004,07,06,14,44,16.00,,-3.200,-72.920, 15.0,40, 4.0,0,"I",,,"AC","Peru/Brasil","(ISC)"
2004,08,24,08,14,49.00,,-4.370,-38.480,  0.0,10, 3.3,1,"I",,,"CE","Cascavel","(UFRN;UnB;IAG)"
2004,09,06,20,13,28.00,,-17.200,-56.200,  0.0,100, 2.8,1,"I",,,"MT","SE-Poconé","(IAG)"
2004,09,18,08,44,,,-5.460,-35.690,  0.0,10, 2.6,1,"I",,,"RN","Pureza","(UFRN)"
2004,11,25,13,10,36.00,,-21.220,-50.470,  0.0,50, 3.2,5,"I",,,"SP","ARACATUBA","(IPT)"
2004,12,26,00,39,53.00,,-16.220,-55.950,  0.0,20, 3.2,1,"I","3",,"MT","Barao Melgaço","(IAG)"
2005,02,08,18,04,20.40,,-2.210,-63.587, 18.0,30, 4.4,0,"I",,,"AM","Amazonas","(NEIC ISC)"
2005,03,11,05,38,26.00,,-21.060,-48.500,  0.0,1, 2.7,1,"I","4",,"SP","Bebedouro","(IAG;UNESP-RC)"
2005,03,23,21,11,59.70,,-11.600,-56.760,  3.0,4, 5.0,0,"I","5-6",,"MT","Pto. dos Gauchos","(UnB; Barros etal.2009) pGT H.O.=AK135"
2005,03,30,11,41,44.00,,-21.060,-48.500,  1.0,1, 2.9,1,"I","5",0.700000,"SP","Bebedouro","(IAG;UNESP-RC)"
2005,04,02,15,25,17.00,,-21.060,-48.500,  1.0,1, 2.8,1,"I","5",,"SP","Bebedouro","(IAG;UNESP-RC)"
2005,04,03,13,44,59.00,,-8.800,-33.190,  0.0,50, 3.0,1,"I",,,"PE","Margem Continental","(IAG;UFRN)"
2005,04,08,23,34,22.00,,-21.030,-47.290,  0.0,30, 3.1,1,"I",,,"SP","S. Benedito Areias","(IAG;IPT)"
2005,06,06,05,01,,,-4.350,-38.360,  0.0,10, 3.0,1,"I",,,"CE","Chorozinho","(UFRN)"
2005,06,18,11,10,,,-4.350,-38.360,  0.0,10, 3.1,1,"I",,,"CE","Chorozinho","(UFRN)"
2005,07,10,08,07,03.00,,-16.810,-54.960,  0.0,30, 3.0,1,"I",,,"MT","Anhumas","(IAG)"
2005,07,20,16,43,06.00,,-11.600,-56.780,  0.0,30, 4.3,1,"I","4",,"MT","Porto dos Gauchos","(UnB;IAG)"
2005,08,20,11,07,00.00,,-25.900,-56.730,  0.0,20, 2.7,5,"I",,,"PY","La Colmena Paraguarí","(UNA; CPUP) ML"
2005,09,24,20,38,01.00,,-11.880,-57.400,  0.0,30, 3.9,1,"I",,,"MT","P.Gauchos","(IAG)"
2006,01,04,22,54,37.00,,-24.410,-50.700,  0.0,20, 4.1,1,"I","4",13.000000,"PR","Telem.Borba","(IAG;UNESP-RC;IPT;UnB)"
2006,01,04,22,56,10.00,,-24.430,-50.700,  0.0,20, 3.3,1,"I",,,"PR","Telem.Borba","(IAG;UNESP-RC;IPT;UnB)"
2006,01,08,01,54,55.00,,-10.070,-36.930,  0.0,10, 3.4,1,"I","5",,"AL","Sao Bras","(UnB;UFRN;IAG)2 replicas"
2006,01,10,19,03,41.00,,-21.640,-46.860,  0.0,30, 3.0,1,"I","2",,"SP","S.Jose do Rio Pardo","(IAG;UnB;UNESP-RC;IPT)"
2006,01,16,,,,,-7.330,-35.330,  0.0,10, 2.6,1,"I",,,"PB","Itabaiana","(UFRN)"
2006,02,24,07,42,,,-14.150,-47.480,  0.0,30, 2.6,1,"I","4-5",,"GO","Alto Paraiso","(UnB)"
2006,02,28,08,18,40.00,,-13.040,-48.430,  0.0,30, 2.7,1,"I","5",,"TO","Palmeirópolis","(UnB)"
2006,03,22,14,03,00.00,,-21.410,-50.080,  0.0,10, 2.5,1,"I","3-4",,"SP","Penapolis","(UNESP-RC)"
2006,03,29,,,,,-14.180,-40.110,  0.0,10, 3.7,4,"C","5-6",,"BA","Jequié","(UFRN) Oriente Novo; varios desde jan"
2006,04,04,04,00,57.00,,-20.950,-45.710,  0.0,30, 2.5,1,"I",,,"MG","Carmo Rio Claro","(IAG;IPT)"
2006,04,10,17,11,13.00,,-21.050,-45.400,  0.0,30, 2.7,1,"I",,,"MG","Aguanil","(IAG;IPT)"
2006,04,22,02,29,19.00,,-16.310,-53.300,  0.0,50, 2.8,5,"I",,,"MT","Guiratinga","(IAG)"
2006,05,14,14,07,46.00,,-16.720,-42.580,  0.0,5, 3.0,1,"I",,,"MG","Irapé","(UnB) induzido por reservatorio"
2006,05,18,23,41,,,-8.260,-36.160,  0.0,5, 2.5,1,"I",,,"PE","Sao Caetano","(UFRN)"
2006,05,20,04,26,05.60,,-8.260,-36.160,  6.0,4, 3.9,2,"I","5-6",,"PE","Sao Caetano","(UFRN; Neto_etal.2009) RCBR-mR=3.77; IDC=4.0 H.O.wrt_2007"
2006,06,08,16,29,13.00,,+4.880,-51.960,  3.0,15, 5.2,0,"I",,,"AP","Caiena","(ISC;UnB;IAG) Oiapoque IIMM"
2006,06,14,07,30,,,-4.410,-38.290,  0.0,2, 2.6,1,"I",,,"CE","Cascavel","(UFRN)"
2006,06,17,01,11,57.00,,-22.230,-51.260,  0.0,20, 3.2,1,"I","4-5",,"SP","Regente Feijo","(IAG;UnB;UNESP-RC;IPT; IDC mb 3.7)"
2006,06,28,08,00,,,-4.410,-38.290,  0.0,2, 3.1,1,"I",,,"CE","Cascavel","(UFRN)"
2006,07,20,17,20,,,-8.260,-36.160,  0.0,5, 3.3,1,"I",,,"PE","Sao Caetano","(UFRN)"
2006,08,30,,,,,-10.510,-37.060,  0.0,10, 2.5,5,"I",,,"SE","Capela","(UFRN) sentido"
2006,09,01,13,55,,,-8.260,-36.160,  0.0,5, 3.6,1,"I",,,"PE","Sao Caetano","(UFRN)"
2006,09,02,23,56,,,-5.000,-35.000,  0.0,30, 4.0,1,"I",,,"RN","Plataforma","(UFRN) sentido em Natal"
2006,11,16,08,08,06.00,,-22.280,-39.780,  0.0,30, 2.9,1,"I",,,"RJ","Margem Cont.","(IAG)"
2006,11,26,02,11,57.00,,-22.040,-40.250,  0.0,30, 3.6,1,"I",,,"RJ","Margem Cont.","(IAG;UnB;IPT)"
2007,03,20,13,38,52.84,,-8.264,-36.161,  5.0,1, 3.9,1,"I",,,"PE","Sao Caetano","(UFRN=3.9;IAG=3.8; 5-sta local net)"
2007,03,20,14,22,,,-8.260,-36.160,  0.0,5, 3.4,1,"I",,,"PE","Sao Caetano","(UFRN)"
2007,03,23,04,41,,,-8.260,-36.160,  0.0,5, 2.6,1,"I",,,"PE","Sao Caetano","(UFRN)"
2007,03,26,00,44,17.00,,-8.260,-36.160,  0.0,5, 3.3,1,"I",,,"PE","Sao Caetano","(UFRN=3.1;IAG=3.4)"
2007,03,27,19,45,49.00,,-26.660,-46.880,  0.0,30, 3.5,1,"I",,,"SC","Margem Cont.","(IAG;UnB;IPT)"
2007,03,28,15,04,00.00,,-8.330,-36.580,  0.0,30, 2.8,1,"I",,,"PE","Belo Jardim","(IAG=2.8)"
2007,04,15,02,00,,,-3.230,-40.130,  0.0,30, 2.9,1,"I",,,"CE","Morrinhos","(UnB)"
2007,05,24,15,30,58.00,,-15.000,-44.300,  0.0,10, 3.8,1,"I","4-5",,"MG","Januaria","(IAG=3.5;UnB=3.5USGS=4.4h=10G)"
2007,07,14,05,33,32.00,,-19.560,-46.290,  0.0,5, 3.5,1,"I","3-4",,"MG","Ibia;Pratinha","(UnB;IAG;UNESP-RC;IPT)"
2007,07,18,,,,,-7.630,-72.670,  0.0,5, 3.0,4,"C","4",,"AC","CruzeiroSul","(IAG)"
2007,07,27,18,37,,,-21.950,-48.680,  0.0,0, 2.5,5,"I","3",,"SP","Bariri","(UNESP-RC;IAG)"
2007,09,13,10,40,02.00,,-5.920,-38.050,  5.0,2, 3.2,1,"I","5",,"RN","Tabuleiro Grande","(UFRN;IAG:ITR=3.3)"
2007,10,25,22,30,,,-11.350,-41.660,  0.0,20, 3.0,4,"C","4",,"BA","Joao Dourado","(Jornal.....)"
2007,10,31,21,15,55.00,,+3.500,-48.120,  0.0,10, 5.1,0,"I",,,"AP","Plat. Continental","(USGS)"
2007,12,09,02,03,28.36,,-15.033,-44.295,  0.7,2, 4.9,0,"I","7",11.200000,"MG","Itacarambi","(ISC; Chimpliganond etal.2010) GT5"
2008,01,16,20,23,45.00,,-22.000,-40.100,  0.0,50, 2.6,5,"I",,,"RJ","Plataforma continental","(IAG)"
2008,01,28,15,46,,,-3.630,-40.510,  0.0,5, 2.5,1,"I","3",,"CE","S.da Meruoca","(UFRN)"
2008,02,02,22,36,,,-3.630,-40.510,  0.0,5, 2.8,1,"I",,,"CE","S.da Meruoca","(UFRN)varios evts."
2008,02,08,19,05,14.00,,-24.560,-44.890,  0.0,20, 3.9,1,"I",,,"SP","Plataf.Cont.","(IAG;UNESP-RC)"
2008,02,17,01,57,,,-3.630,-40.510,  0.0,5, 3.7,1,"I","4",,"CE","S.da Meruoca","(UFRN;UnB)"
2008,02,29,04,48,,,-3.630,-40.510,  0.0,5, 3.7,1,"I",,,"CE","S.da Meruoca","(UFRN) muitos tremores..."
2008,03,01,00,58,,,-3.630,-40.510,  0.0,5, 3.4,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,03,05,20,03,,,-3.630,-40.510,  0.0,5, 2.8,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,03,19,22,12,,,-15.070,-44.090,  1.0,5, 3.8,1,"I",,,"MG","Itacarambi","(UnB) mag Chimpliganond-2010"
2008,03,21,06,20,,,-3.630,-40.510,  0.0,5, 2.9,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,04,04,17,07,,,-3.630,-40.510,  0.0,5, 3.5,1,"I",,,"CE","S.da Meruoca","(UFRN) mag=3.9? mR=2.8; conferir!!!"
2008,04,20,06,39,54.00,,-24.800,-40.890,  0.0,10, 3.6,1,"I",,,"SP","Plataf.Continental","(IAG;IPT)"
2008,04,23,00,00,48.00,,-25.700,-45.410, 17.0,10, 5.2,1,"I","4-5",720.000000,"SP","Plataforma Continental","(IAG;IPT;UnB;UNESP)"
2008,04,23,00,16,52.00,,-25.700,-45.410,  0.0,10, 2.7,5,"I",,,"SP","Plat. Continental","(IPT IAG) replica"
2008,05,01,08,36,,,-3.630,-40.510,  0.0,5, 3.1,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,05,03,09,09,55.00,,-22.480,-39.890,  0.0,30, 3.4,1,"I",,,"RJ","Plataf.Cont.","(IAG;IPT)"
2008,05,21,19,23,59.35,,-3.630,-40.510,  5.0,5, 3.8,2,"I",,,"CE","S.da Meruoca","(UFRN;UnB;IAG) mb_ISC=3.65 mR_IAG=3.92"
2008,05,21,19,28,16.00,,-3.630,-40.510,  0.0,5, 3.9,1,"I",,,"CE","S.da Meruoca","(UFRN;UnB;IAG) mesmo evento?"
2008,05,22,21,01,,,-3.630,-40.510,  0.0,5, 3.0,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,06,14,12,00,,,-28.900,-51.350,  0.0,1, 3.3,1,"I",,,"RS","NovaRoma Sul","(UFRS)"
2008,07,31,03,12,06.00,,-13.730,-44.730,  0.0,45, 2.9,1,"I",,,"BA","Correntina","(UnB)"
2008,09,29,15,19,20.00,,-19.900,-47.330,  0.0,20, 3.1,1,"I","4-5",,"MG","Uberaba","(UnB)"
2008,10,07,21,51,09.00,,-17.170,-56.240,  0.0,20, 3.4,1,"I",,,"MT","B.de Melgaco","(UnB)"
2008,11,10,06,56,57.00,,-29.020,-51.060,  0.0,1, 3.0,1,"I","3",,"RS","Caxias do Sul","(UFRS)"
2008,12,19,,,,,-3.630,-40.510,  0.0,5, 3.5,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2008,12,19,22,55,20.00,,-31.660,-49.580,  0.0,25, 3.9,0,"I",,,"RS","Plataforma Torres","(ISC)"
2009,01,31,02,50,59.00,,-13.730,-44.740, 11.0,30, 2.6,1,"I",,,"BA","Correntina","(UnB)"
2009,02,09,14,45,,,-3.630,-40.510,  0.0,5, 3.5,1,"I",,,"CE","S.da Meruoca","(UFRN;UnB)"
2009,03,09,14,26,20.00,,-20.560,-44.870,  0.0,50, 2.8,5,"I",,,"MG","CARMO DA MATA","(UnB)"
2009,03,18,16,50,08.00,,-3.630,-40.510,  5.0,5, 2.5,1,"I",,,"CE","S.da Meruoca","(UFRN;UnB)"
2009,03,22,23,55,,,-3.630,-40.510,  5.0,5, 2.5,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2009,03,29,20,00,00.00,,-19.800,-44.000,  0.0,50, 2.8,5,"I",,,"MG","SAO JOSE DA LAPA","(UnB)"
2009,04,03,03,39,51.00,,-11.650,-48.610,  5.0,30, 3.2,1,"I",,,"TO","Peixe","(UnB)"
2009,04,17,08,55,33.00,,-3.620,-40.530,  5.0,10, 2.6,1,"I",,,"CE","Alcantaras","(UnB)"
2009,06,08,17,16,04.00,,-24.740,-48.120,  0.0,50, 2.9,5,"I",,,"SP","CAJATI","(IAG)"
2009,06,11,06,47,42.00,,-4.190,-38.700,  5.0,10, 2.6,1,"I",,,"CE","Acarape","(UnB;UFRN) UFRN m=1.9"
2009,06,15,22,15,45.00,,-18.490,-55.800,  6.0,10, 4.8,0,"I","5",270.000000,"MS","Coxim","(USGS;IAG)"
2009,06,21,23,11,00.00,,-27.100,-58.080,  0.0,20, 2.8,5,"I",,,"PY","Desmochados Neembucu","(UNA; CPUP) ML"
2009,06,30,06,39,56.00,,-11.620,-56.700,  5.0,10, 3.0,1,"I",,,"MT","Tabapora","(UnB)"
2009,07,08,17,05,,,-3.630,-40.510,  5.0,5, 2.6,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2009,07,24,06,07,13.00,,-11.620,-56.700,  5.0,10, 3.1,1,"I",,,"MT","Tabapora","(UnB)"
2009,07,31,14,28,57.00,,-3.620,-40.530,  5.0,10, 2.5,1,"I",,,"CE","Alcantaras","(UnB)"
2009,07,31,20,55,21.00,,-3.620,-40.530,  5.0,10, 3.4,1,"I",,,"CE","Alcantaras","(UnB)"
2009,09,07,00,18,,,-23.450,-45.510,  0.0,2, 3.3,1,"I",,,"SP","Paraibuna","(IPT;UNESP-RC;IAG-ESAR)"
2009,09,07,22,14,17.00,,-3.070,-40.730,  5.0,30, 2.6,1,"I",,,"CE","Granja-Parazinho","(UnB)"
2009,09,08,07,16,59.00,,-4.620,-38.160,  0.0,5, 2.6,1,"I","3",,"CE","BeberiPalhano","(UFRN;IAG)"
2009,09,09,04,11,46.00,,-1.900,-61.430,  0.0,50, 4.2,1,"I",,,"RR","Roraima","(UnB)"
2009,09,10,16,59,57.00,,-24.930,-43.850,  0.0,40, 3.1,1,"I",,,"SP","Plataforma continental","(ESAR)"
2009,09,23,05,27,37.00,,-15.060,-44.260,  5.0,5, 2.8,1,"I",,,"MG","Itacarambi","(UnB)"
2009,10,07,10,12,11.00,,-15.060,-44.260,  5.0,5, 2.5,1,"I",,,"MG","Itacarambi","(UnB)"
2009,10,09,09,40,16.00,,-11.620,-56.700,  5.0,40, 2.6,1,"I",,,"MT","PortoGauchos","(UnB)~40km Tabapora-MT"
2009,10,23,08,13,51.00,,-24.170,-43.200,  0.0,40, 3.0,1,"I",,,"RJ","Plataforma continental","(ESAR)"
2009,10,27,00,45,27.00,,-3.760,-40.330,  5.0,10, 2.6,1,"I","4",,"CE","Sobral","(UFRN;UnB)"
2009,11,10,17,40,52.00,,-27.500,-56.700, 15.0,30, 3.5,5,"I","3",,"AR","Sur de Paraguay","(SJA/INPRES)"
2009,11,25,14,22,03.00,,-24.340,-43.320,  0.0,40, 2.5,1,"I",,,"RJ","Plataforma continental","(ESAR)"
2009,11,26,22,55,45.00,,+0.760,-43.000,  5.0,20, 4.0,1,"I",,,"MA","PlatafContin.","(IAG)"
2009,11,29,22,05,15.00,,-26.160,-57.630, 32.0,30, 4.5,5,"I","3",,"PY","Lag.Ypoa; Paraguay","(SJA/INPRES)"
2009,12,02,02,39,31.00,,-10.370,-52.710,  5.0,20, 3.5,1,"I",,,"MT","Sta.Cruz Xingu","(UnB)"
2009,12,19,17,48,28.00,,-24.230,-46.150,  0.0,40, 2.7,1,"I",,,"SP","Plataforma continental","(ESAR)"
2009,12,21,08,25,,,-3.550,-40.650,  0.0,10, 2.9,1,"I",,,"CE","Coreauh","(UFRN)"
2009,12,29,18,54,53.00,,-24.270,-46.120,  0.0,40, 2.7,1,"I",,,"SP","Plataforma continental","(ESAR)"
2009,12,30,16,41,33.00,,-2.330,-59.760,  5.0,20, 3.0,1,"I",,,"AM","PresFigueired","(UnB)"
2010,01,02,03,28,42.00,,-3.550,-40.650,  5.0,10, 2.7,1,"I",,,"CE","Coreau","(UFRN;UnB)"
2010,01,09,18,18,39.00,,-5.550,-35.660, 10.0,5, 3.5,1,"I",,,"RN","Taipu","(UFRN;UnB)"
2010,01,11,15,54,30.00,,-5.550,-35.660, 10.0,5, 4.3,1,"I",,,"RN","Taipu","(UFRN;UnB;ISC-mb4.1)Sent=Natal;Recife;Paraiba"
2010,01,13,02,06,52.00,,-11.620,-56.700,  5.0,10, 2.9,1,"I",,,"MT","Porto Gauchos","(UnB) ~40km Tabapora-MT"
2010,01,17,22,38,15.00,,-11.620,-56.700,  5.0,10, 2.6,1,"I",,,"MT","Porto Gauchos","(UnB) ~40km Tabapora-MT"
2010,01,22,07,48,08.00,,-14.400,-47.810,  0.0,10, 3.2,1,"I",,,"GO","Colinas doSul","(UnB)"
2010,01,25,02,17,17.00,,-16.220,-44.910,  0.0,20, 3.3,1,"I",,,"MG","IcaraideMinas","(UnB)"
2010,01,28,03,45,29.00,,-19.500,-43.950,  0.0,10, 3.6,1,"I",,,"MG","BeloHorizonte","(UnB)"
2010,02,24,01,04,13.00,,-11.620,-56.700,  5.0,10, 2.8,1,"I",,,"MT","PortoGauchos","(UnB) ~40km de Tabapora-MT"
2010,02,27,09,35,05.00,,-11.620,-56.700,  5.0,40, 3.5,1,"I",,,"MT","PortoGauchos","(UnB) ~40km Tabapora-MT"
2010,02,28,02,21,,,-8.300,-36.150,  0.0,5, 2.9,1,"I",,,"PE","Sao Caetano","(UFRN)"
2010,03,02,01,46,37.00,,-11.620,-56.700,  5.0,40, 2.5,1,"I",,,"MT","PortoGauchos","(UnB) ~40km Tabapora-MT"
2010,03,08,23,14,,,-8.460,-36.780,  0.0,5, 3.2,1,"I",,,"PE","Alagoinha","(UFRN)"
2010,03,11,02,57,09.00,,-8.300,-36.150,  0.0,5, 2.7,1,"I",,,"PE","Sao Caetano","(UFRN)"
2010,03,25,10,39,00.00,,-5.970,-36.790,  0.0,5, 2.9,1,"I",,,"RN","Sant.do Matos","(UFRN)"
2010,04,07,21,19,,,-8.460,-36.780,  0.0,5, 2.6,1,"I",,,"PE","Alagoinha","(UFRN)"
2010,04,11,23,40,09.00,,-11.620,-56.700,  5.0,40, 2.6,1,"I",,,"MT","PortoGauchos","(UnB)~40km Tabapora-MT"
2010,04,18,23,41,00.00,,-8.570,-35.910,  0.0,5, 2.8,1,"I",,,"PE","Cupira","(UFRN)"
2010,04,19,15,05,24.00,,-27.030,-44.780,  0.0,90, 2.9,1,"I",,,"SC","Plataforma continental","(ESAR)"
2010,04,25,23,09,50.00,,-6.820,-72.980, 17.0,30, 4.9,0,"I",,,"AC","Acre","(USGS)"
2010,04,26,04,33,,,-29.160,-51.370,  0.0,20, 3.5,1,"I",,,"RS","Caxias do Sul","(IPT)"
2010,04,26,10,33,56.00,,-3.450,-44.770,  0.0,10, 2.6,1,"I",,,"MA","Arari","(UFRN)"
2010,05,05,05,17,12.00,,-21.190,-43.980,  0.0,30, 2.9,1,"I",,,"MG","Barroso","(UnB)"
2010,06,01,06,58,47.00,,-13.200,-39.500,  0.0,10, 3.2,1,"I",,,"BA","Mutuipe","(UnB)"
2010,06,03,11,22,37.00,,-19.560,-44.060,  0.0,10, 2.9,1,"I",,,"MG","Matozinhos","(UnB)"
2010,06,11,09,58,,,-8.330,-36.290,  0.0,10, 2.7,1,"I",,,"PE","Tacaimbo","(UFRN)"
2010,06,14,05,00,,,-10.730,-41.320,  0.0,10, 2.5,5,"C","4-5",,"BA","Umburanas","(UFRN)"
2010,07,01,16,44,19.00,,-22.430,-40.650,  0.0,50, 3.8,1,"I","4",,"RJ","Plataforma continental","(IAG) sentido plataf Pampo+Enchova; reg. navio sísmico"
2010,07,19,04,10,,,-8.300,-36.150,  0.0,5, 2.7,1,"I",,,"PE","Sao Caetano","(UFRN)"
2010,08,21,12,57,05.00,,-21.750,-50.010,  0.0,40, 3.0,1,"I","4",,"SP","Getulina;Macuco","(IAG)"
2010,09,29,19,54,43.00,,-16.730,-43.860,  0.0,10, 2.8,1,"I","4",,"MG","Montes Claros","(UnB) Origin Time to be confirmed"
2010,10,04,19,07,01.00,,-13.720,-49.160,  5.0,5, 3.6,1,"I","4",,"GO","Mara Rosa","(IAG;UnB)"
2010,10,08,20,16,54.79,,-13.771,-49.160,  1.4,3, 5.0,0,"I","6",185.000000,"GO","Mara Rosa","(UnB: rel.loc. with 2011-Feb-26; ISC mb5.0)"
2010,10,08,20,25,18.00,,-13.770,-49.160,  2.0,3, 4.2,0,"I",,,"GO","Mara Rosa","(UnB)"
2010,10,24,19,01,40.00,,-25.460,-47.600,  0.0,80, 2.8,1,"I",,,"SP","Plataforma Continental","(ESAR)"
2010,10,26,05,34,18.00,,-13.790,-49.990,  0.0,20, 3.5,1,"I",,,"MT","StaCruzXingu","(UnB)"
2010,10,26,13,15,,,-3.630,-40.510,  5.0,5, 2.6,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2010,10,31,,,,,-3.630,-40.510,  5.0,5, 3.1,1,"I",,,"CE","S.da Meruoca","(UFRN)"
2010,11,28,10,21,20.00,,-7.470,-50.400,  0.0,20, 4.2,1,"I",,,"PA","Redencao","(UnB;IAG)"
2010,12,04,11,26,,,-5.460,-36.100,  5.0,3, 3.1,1,"I",,,"RN","Pedra Preta","(UFRN)"
2010,12,04,23,58,,,-5.460,-36.100,  5.0,3, 3.0,1,"I",,,"RN","Pedra Preta","(UFRN)"
2010,12,05,00,01,,,-5.460,-36.100,  5.0,3, 3.1,1,"I",,,"RN","Pedra Preta","(UFRN)"
2010,12,09,21,29,14.00,,-13.400,-46.320,  0.0,30, 3.7,1,"I",,,"GO","Sao Domingos","(UnB;IAG)"
2010,12,14,10,46,,,-5.460,-36.100,  5.0,3, 2.5,1,"I",,,"RN","Pedra Preta","(UFRN)"
